spUTCTime,spClockTime,price
2025-03-19 01:30:00+00:00,2025-03-19 01:30:00+00:00,12.411313720531084
2025-03-19 02:00:00+00:00,2025-03-19 02:00:00+00:00,9.08
2025-03-19 02:30:00+00:00,2025-03-19 02:30:00+00:00,7.5040000000000004
2025-03-19 03:00:00+00:00,2025-03-19 03:00:00+00:00,8.103
2025-03-19 03:30:00+00:00,2025-03-19 03:30:00+00:00,7.7
2025-03-19 04:00:00+00:00,2025-03-19 04:00:00+00:00,13.331999999999999
2025-03-19 04:30:00+00:00,2025-03-19 04:30:00+00:00,14.379332399624882
2025-03-19 05:00:00+00:00,2025-03-19 05:00:00+00:00,14.0
2025-03-19 05:30:00+00:00,2025-03-19 05:30:00+00:00,13.7
2025-03-19 06:00:00+00:00,2025-03-19 06:00:00+00:00,12.3
2025-03-19 06:30:00+00:00,2025-03-19 06:30:00+00:00,14.927490955635529
2025-03-19 07:00:00+00:00,2025-03-19 07:00:00+00:00,14.5
2025-03-19 07:30:00+00:00,2025-03-19 07:30:00+00:00,13.7
2025-03-19 08:00:00+00:00,2025-03-19 08:00:00+00:00,15.0
2025-03-19 08:30:00+00:00,2025-03-19 08:30:00+00:00,13.7
2025-03-19 09:00:00+00:00,2025-03-19 09:00:00+00:00,12.3
2025-03-19 09:30:00+00:00,2025-03-19 09:30:00+00:00,11.89
2025-03-19 10:00:00+00:00,2025-03-19 10:00:00+00:00,7.9
2025-03-19 10:30:00+00:00,2025-03-19 10:30:00+00:00,7.904999999999999
2025-03-19 11:00:00+00:00,2025-03-19 11:00:00+00:00,7.904999999999999
2025-03-19 11:30:00+00:00,2025-03-19 11:30:00+00:00,7.906000000000001
2025-03-19 12:00:00+00:00,2025-03-19 12:00:00+00:00,14.8
2025-03-19 12:30:00+00:00,2025-03-19 12:30:00+00:00,13.711000000000002
2025-03-19 13:00:00+00:00,2025-03-19 13:00:00+00:00,11.91
2025-03-19 13:30:00+00:00,2025-03-19 13:30:00+00:00,11.1
2025-03-19 14:00:00+00:00,2025-03-19 14:00:00+00:00,7.922
2025-03-19 14:30:00+00:00,2025-03-19 14:30:00+00:00,18.5
2025-03-19 15:00:00+00:00,2025-03-19 15:00:00+00:00,7.915000000000001
2025-03-19 15:30:00+00:00,2025-03-19 15:30:00+00:00,7.925
2025-03-19 16:00:00+00:00,2025-03-19 16:00:00+00:00,16.9
2025-03-19 16:30:00+00:00,2025-03-19 16:30:00+00:00,18.5
2025-03-19 17:00:00+00:00,2025-03-19 17:00:00+00:00,20.740000000000002
2025-03-19 17:30:00+00:00,2025-03-19 17:30:00+00:00,20.345013333333334
2025-03-19 18:00:00+00:00,2025-03-19 18:00:00+00:00,18.64
2025-03-19 18:30:00+00:00,2025-03-19 18:30:00+00:00,19.091
2025-03-19 19:00:00+00:00,2025-03-19 19:00:00+00:00,20.0
2025-03-19 19:30:00+00:00,2025-03-19 19:30:00+00:00,20.0
2025-03-19 20:00:00+00:00,2025-03-19 20:00:00+00:00,9.333853153391967
2025-03-19 20:30:00+00:00,2025-03-19 20:30:00+00:00,18.5
2025-03-19 21:00:00+00:00,2025-03-19 21:00:00+00:00,8.132
2025-03-19 21:30:00+00:00,2025-03-19 21:30:00+00:00,8.132
2025-03-19 22:00:00+00:00,2025-03-19 22:00:00+00:00,8.132
2025-03-19 22:30:00+00:00,2025-03-19 22:30:00+00:00,8.244
2025-03-19 23:00:00+00:00,2025-03-19 23:00:00+00:00,11.89
2025-03-19 23:30:00+00:00,2025-03-19 23:30:00+00:00,11.4
2025-03-20 00:00:00+00:00,2025-03-20 00:00:00+00:00,12.5
2025-03-20 00:30:00+00:00,2025-03-20 00:30:00+00:00,13.2
2025-03-20 01:00:00+00:00,2025-03-20 01:00:00+00:00,13.99326510550541
2025-03-20 01:30:00+00:00,2025-03-20 01:30:00+00:00,13.441999999999998
2025-03-20 02:00:00+00:00,2025-03-20 02:00:00+00:00,13.422
2025-03-20 02:30:00+00:00,2025-03-20 02:30:00+00:00,13.5
2025-03-20 03:00:00+00:00,2025-03-20 03:00:00+00:00,8.594
2025-03-20 03:30:00+00:00,2025-03-20 03:30:00+00:00,11.0
2025-03-20 04:00:00+00:00,2025-03-20 04:00:00+00:00,11.0
2025-03-20 04:30:00+00:00,2025-03-20 04:30:00+00:00,8.2
2025-03-20 05:00:00+00:00,2025-03-20 05:00:00+00:00,14.0
2025-03-20 05:30:00+00:00,2025-03-20 05:30:00+00:00,14.0
