creationTime,settlementDate,settlementPeriod,settlementRunType,totalExemptSupplyVolume
2026-02-09T10:00:31Z,2025-06-26,30,R3,0.3433
2026-02-09T10:00:31Z,2025-06-26,29,R3,0.3431
2026-02-09T10:00:31Z,2025-06-26,28,R3,0.348
2026-02-09T10:00:31Z,2025-06-26,27,R3,0.3557
2026-02-09T10:00:31Z,2025-06-26,26,R3,0.3501
2026-02-09T10:00:31Z,2025-06-26,36,R3,0.1328
2026-02-09T10:00:31Z,2025-06-27,14,R3,0.272
2026-02-09T10:00:31Z,2025-06-27,15,R3,0.3024
2026-02-09T10:00:31Z,2025-06-27,16,R3,0.3146
2026-02-09T10:00:31Z,2025-06-27,21,R3,0.3573
2026-02-09T10:00:31Z,2025-06-27,18,R3,0.3496
2026-02-09T10:00:31Z,2025-06-27,19,R3,0.3622
2026-02-09T10:00:31Z,2025-06-27,20,R3,0.3528
2026-02-09T10:00:31Z,2025-06-27,13,R3,0.2621
2026-02-09T10:00:31Z,2025-06-27,17,R3,0.3244
2026-02-09T10:00:31Z,2025-06-27,12,R3,0.2152
2026-02-09T10:00:31Z,2025-06-27,6,R3,0.1046
2026-02-09T10:00:31Z,2025-06-27,10,R3,0.1408
2026-02-09T10:00:31Z,2025-06-27,9,R3,0.1048
2026-02-09T10:00:31Z,2025-06-27,8,R3,0.1057
2026-02-09T10:00:31Z,2025-06-27,7,R3,0.1073
2026-02-09T10:00:31Z,2025-06-27,5,R3,0.1015
2026-02-09T10:00:31Z,2025-06-27,4,R3,0.0815
2026-02-09T10:00:31Z,2025-06-27,3,R3,0.077
2026-02-09T10:00:31Z,2025-06-27,2,R3,0.0691
2026-02-09T10:00:31Z,2025-06-27,1,R3,0.0741
2026-02-09T10:00:31Z,2025-06-27,22,R3,0.3626
2026-02-09T10:00:31Z,2025-06-27,11,R3,0.1614
2026-02-09T10:00:31Z,2025-06-27,23,R3,0.3712
2026-02-09T10:00:31Z,2025-06-27,48,R3,0.0798
2026-02-09T10:00:31Z,2025-06-27,25,R3,0.3372
2026-02-09T10:00:31Z,2025-06-27,47,R3,0.0777
2026-02-09T10:00:31Z,2025-06-27,46,R3,0.0723
2026-02-09T10:00:31Z,2025-06-27,45,R3,0.0752
2026-02-09T10:00:31Z,2025-06-27,44,R3,0.0721
2026-02-09T10:00:31Z,2025-06-27,43,R3,0.0745
2026-02-09T10:00:31Z,2025-06-27,42,R3,0.079
2026-02-09T10:00:31Z,2025-06-27,41,R3,0.0828
2026-02-09T10:00:31Z,2025-06-27,40,R3,0.0834
2026-02-09T10:00:31Z,2025-06-27,39,R3,0.0922
2026-02-09T10:00:31Z,2025-06-27,38,R3,0.0928
2026-02-09T10:00:31Z,2025-06-27,37,R3,0.0926
2026-02-09T10:00:31Z,2025-06-27,24,R3,0.3421
2026-02-09T10:00:31Z,2025-06-27,35,R3,0.1498
2026-02-09T10:00:31Z,2025-06-27,34,R3,0.2339
2026-02-09T10:00:31Z,2025-06-27,33,R3,0.2576
2026-02-09T10:00:31Z,2025-06-27,32,R3,0.3065
2026-02-09T10:00:31Z,2025-06-27,31,R3,0.322
2026-02-09T10:00:31Z,2025-06-27,30,R3,0.3315
2026-02-09T10:00:31Z,2025-06-27,29,R3,0.3442
2026-02-09T10:00:31Z,2025-06-27,28,R3,0.3467
2026-02-09T10:00:31Z,2025-06-27,27,R3,0.3615
2026-02-09T10:00:31Z,2025-06-27,26,R3,0.3531
2026-02-09T10:00:31Z,2025-06-27,36,R3,0.1179
2026-02-09T10:00:31Z,2025-06-28,14,R3,0.0822
2026-02-09T10:00:31Z,2025-06-28,15,R3,0.085
